date,duree,taux,type_taux,source
2021-08-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
2021-09-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
2021-10-01,fixation > 10 ans,1.14,moyen,banque_de_france_mir
2021-11-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
2021-12-01,fixation > 10 ans,1.11,moyen,banque_de_france_mir
2022-01-01,fixation > 10 ans,1.13,moyen,banque_de_france_mir
2022-02-01,fixation > 10 ans,1.14,moyen,banque_de_france_mir
2022-03-01,fixation > 10 ans,1.15,moyen,banque_de_france_mir
2022-04-01,fixation > 10 ans,1.2,moyen,banque_de_france_mir
2022-05-01,fixation > 10 ans,1.27,moyen,banque_de_france_mir
2022-06-01,fixation > 10 ans,1.36,moyen,banque_de_france_mir
2022-07-01,fixation > 10 ans,1.47,moyen,banque_de_france_mir
2022-08-01,fixation > 10 ans,1.59,moyen,banque_de_france_mir
2022-09-01,fixation > 10 ans,1.7,moyen,banque_de_france_mir
2022-10-01,fixation > 10 ans,1.79,moyen,banque_de_france_mir
2022-11-01,fixation > 10 ans,1.93,moyen,banque_de_france_mir
2022-12-01,fixation > 10 ans,2.07,moyen,banque_de_france_mir
2023-01-01,fixation > 10 ans,2.21,moyen,banque_de_france_mir
2023-02-01,fixation > 10 ans,2.37,moyen,banque_de_france_mir
2023-03-01,fixation > 10 ans,2.56,moyen,banque_de_france_mir
2023-04-01,fixation > 10 ans,2.73,moyen,banque_de_france_mir
2023-05-01,fixation > 10 ans,2.91,moyen,banque_de_france_mir
2023-06-01,fixation > 10 ans,3.06,moyen,banque_de_france_mir
2023-07-01,fixation > 10 ans,3.18,moyen,banque_de_france_mir
2023-08-01,fixation > 10 ans,3.31,moyen,banque_de_france_mir
2023-09-01,fixation > 10 ans,3.38,moyen,banque_de_france_mir
2023-10-01,fixation > 10 ans,3.44,moyen,banque_de_france_mir
2023-11-01,fixation > 10 ans,3.55,moyen,banque_de_france_mir
2023-12-01,fixation > 10 ans,3.62,moyen,banque_de_france_mir
2024-01-01,fixation > 10 ans,3.6,moyen,banque_de_france_mir
2024-02-01,fixation > 10 ans,3.52,moyen,banque_de_france_mir
2024-03-01,fixation > 10 ans,3.5,moyen,banque_de_france_mir
2024-04-01,fixation > 10 ans,3.49,moyen,banque_de_france_mir
2024-05-01,fixation > 10 ans,3.46,moyen,banque_de_france_mir
2024-06-01,fixation > 10 ans,3.43,moyen,banque_de_france_mir
2024-07-01,fixation > 10 ans,3.38,moyen,banque_de_france_mir
2024-08-01,fixation > 10 ans,3.36,moyen,banque_de_france_mir
2024-09-01,fixation > 10 ans,3.31,moyen,banque_de_france_mir
2024-10-01,fixation > 10 ans,3.25,moyen,banque_de_france_mir
2024-11-01,fixation > 10 ans,3.16,moyen,banque_de_france_mir
2024-12-01,fixation > 10 ans,3.12,moyen,banque_de_france_mir
2025-01-01,fixation > 10 ans,3.1,moyen,banque_de_france_mir
2025-02-01,fixation > 10 ans,2.98,moyen,banque_de_france_mir
2025-03-01,fixation > 10 ans,3.03,moyen,banque_de_france_mir
2025-04-01,fixation > 10 ans,3.0,moyen,banque_de_france_mir
2025-05-01,fixation > 10 ans,3.01,moyen,banque_de_france_mir
2025-06-01,fixation > 10 ans,3.0,moyen,banque_de_france_mir
2025-07-01,fixation > 10 ans,3.0,moyen,banque_de_france_mir
2025-08-01,fixation > 10 ans,3.01,moyen,banque_de_france_mir
2025-09-01,fixation > 10 ans,2.99,moyen,banque_de_france_mir
2025-10-01,fixation > 10 ans,2.99,moyen,banque_de_france_mir
2025-11-01,fixation > 10 ans,3.0,moyen,banque_de_france_mir
2025-12-01,fixation > 10 ans,3.0,moyen,banque_de_france_mir
2026-01-01,fixation > 10 ans,3.06,moyen,banque_de_france_mir
2026-02-01,fixation > 10 ans,3.1,moyen,banque_de_france_mir
2026-03-01,fixation > 10 ans,3.11,moyen,banque_de_france_mir
2026-04-01,fixation > 10 ans,3.12,moyen,banque_de_france_mir
2003-01-01,taux moyen (cout du credit),4.8,moyen,banque_de_france_mir
2003-02-01,taux moyen (cout du credit),4.85,moyen,banque_de_france_mir
2003-03-01,taux moyen (cout du credit),4.71,moyen,banque_de_france_mir
2003-04-01,taux moyen (cout du credit),4.59,moyen,banque_de_france_mir
2003-05-01,taux moyen (cout du credit),4.48,moyen,banque_de_france_mir
2003-06-01,taux moyen (cout du credit),4.43,moyen,banque_de_france_mir
2003-07-01,taux moyen (cout du credit),4.24,moyen,banque_de_france_mir
2003-08-01,taux moyen (cout du credit),4.16,moyen,banque_de_france_mir
2003-09-01,taux moyen (cout du credit),4.17,moyen,banque_de_france_mir
2003-10-01,taux moyen (cout du credit),4.21,moyen,banque_de_france_mir
2003-11-01,taux moyen (cout du credit),4.24,moyen,banque_de_france_mir
2003-12-01,taux moyen (cout du credit),4.24,moyen,banque_de_france_mir
2004-01-01,taux moyen (cout du credit),4.26,moyen,banque_de_france_mir
2004-02-01,taux moyen (cout du credit),4.28,moyen,banque_de_france_mir
2004-03-01,taux moyen (cout du credit),4.23,moyen,banque_de_france_mir
2004-04-01,taux moyen (cout du credit),4.21,moyen,banque_de_france_mir
2004-05-01,taux moyen (cout du credit),4.06,moyen,banque_de_france_mir
2004-06-01,taux moyen (cout du credit),4.06,moyen,banque_de_france_mir
2004-07-01,taux moyen (cout du credit),4.07,moyen,banque_de_france_mir
2004-08-01,taux moyen (cout du credit),4.05,moyen,banque_de_france_mir
2004-09-01,taux moyen (cout du credit),4.08,moyen,banque_de_france_mir
2004-10-01,taux moyen (cout du credit),4.06,moyen,banque_de_france_mir
2004-11-01,taux moyen (cout du credit),4.04,moyen,banque_de_france_mir
2004-12-01,taux moyen (cout du credit),3.91,moyen,banque_de_france_mir
2005-01-01,taux moyen (cout du credit),3.92,moyen,banque_de_france_mir
2005-02-01,taux moyen (cout du credit),3.9,moyen,banque_de_france_mir
2005-03-01,taux moyen (cout du credit),3.79,moyen,banque_de_france_mir
2005-04-01,taux moyen (cout du credit),3.77,moyen,banque_de_france_mir
2005-05-01,taux moyen (cout du credit),3.76,moyen,banque_de_france_mir
2005-06-01,taux moyen (cout du credit),3.7,moyen,banque_de_france_mir
2005-07-01,taux moyen (cout du credit),3.65,moyen,banque_de_france_mir
2005-08-01,taux moyen (cout du credit),3.6,moyen,banque_de_france_mir
2005-09-01,taux moyen (cout du credit),3.57,moyen,banque_de_france_mir
2005-10-01,taux moyen (cout du credit),3.51,moyen,banque_de_france_mir
2005-11-01,taux moyen (cout du credit),3.48,moyen,banque_de_france_mir
2005-12-01,taux moyen (cout du credit),3.51,moyen,banque_de_france_mir
2006-01-01,taux moyen (cout du credit),3.52,moyen,banque_de_france_mir
2006-02-01,taux moyen (cout du credit),3.63,moyen,banque_de_france_mir
2006-03-01,taux moyen (cout du credit),3.64,moyen,banque_de_france_mir
2006-04-01,taux moyen (cout du credit),3.65,moyen,banque_de_france_mir
2006-05-01,taux moyen (cout du credit),3.69,moyen,banque_de_france_mir
2006-06-01,taux moyen (cout du credit),3.77,moyen,banque_de_france_mir
2006-07-01,taux moyen (cout du credit),3.82,moyen,banque_de_france_mir
2006-08-01,taux moyen (cout du credit),3.89,moyen,banque_de_france_mir
2006-09-01,taux moyen (cout du credit),3.96,moyen,banque_de_france_mir
2006-10-01,taux moyen (cout du credit),4.01,moyen,banque_de_france_mir
2006-11-01,taux moyen (cout du credit),4.07,moyen,banque_de_france_mir
2006-12-01,taux moyen (cout du credit),4.12,moyen,banque_de_france_mir
2007-01-01,taux moyen (cout du credit),4.11,moyen,banque_de_france_mir
2007-02-01,taux moyen (cout du credit),4.17,moyen,banque_de_france_mir
2007-03-01,taux moyen (cout du credit),4.19,moyen,banque_de_france_mir
2007-04-01,taux moyen (cout du credit),4.2,moyen,banque_de_france_mir
2007-05-01,taux moyen (cout du credit),4.23,moyen,banque_de_france_mir
2007-06-01,taux moyen (cout du credit),4.26,moyen,banque_de_france_mir
2007-07-01,taux moyen (cout du credit),4.37,moyen,banque_de_france_mir
2007-08-01,taux moyen (cout du credit),4.51,moyen,banque_de_france_mir
2007-09-01,taux moyen (cout du credit),4.61,moyen,banque_de_france_mir
2007-10-01,taux moyen (cout du credit),4.73,moyen,banque_de_france_mir
2007-11-01,taux moyen (cout du credit),4.81,moyen,banque_de_france_mir
2007-12-01,taux moyen (cout du credit),4.85,moyen,banque_de_france_mir
2008-01-01,taux moyen (cout du credit),4.86,moyen,banque_de_france_mir
2008-02-01,taux moyen (cout du credit),4.9,moyen,banque_de_france_mir
2008-03-01,taux moyen (cout du credit),4.89,moyen,banque_de_france_mir
2008-04-01,taux moyen (cout du credit),4.87,moyen,banque_de_france_mir
2008-05-01,taux moyen (cout du credit),4.86,moyen,banque_de_france_mir
2008-06-01,taux moyen (cout du credit),4.88,moyen,banque_de_france_mir
2008-07-01,taux moyen (cout du credit),4.98,moyen,banque_de_france_mir
2008-08-01,taux moyen (cout du credit),5.05,moyen,banque_de_france_mir
2008-09-01,taux moyen (cout du credit),5.18,moyen,banque_de_france_mir
2008-10-01,taux moyen (cout du credit),5.21,moyen,banque_de_france_mir
2008-11-01,taux moyen (cout du credit),5.27,moyen,banque_de_france_mir
2008-12-01,taux moyen (cout du credit),5.34,moyen,banque_de_france_mir
2009-01-01,taux moyen (cout du credit),5.2,moyen,banque_de_france_mir
2009-02-01,taux moyen (cout du credit),4.97,moyen,banque_de_france_mir
2009-03-01,taux moyen (cout du credit),4.78,moyen,banque_de_france_mir
2009-04-01,taux moyen (cout du credit),4.59,moyen,banque_de_france_mir
2009-05-01,taux moyen (cout du credit),4.4,moyen,banque_de_france_mir
